Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,"1.4.1 decision-making in market, planned and mixed economies",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,"1.4.1 decision-making in market, planned and mixed economies",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,1.4.2 resource allocation in these economic systems,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,1.4.2 resource allocation in these economic systems,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,1.4.2 resource allocation in these economic systems,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.4 Resource allocation in different economic systems,1.4.2 resource allocation in these economic systems,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.1 nature and meaning of a production possibility curve (PPC),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.1 nature and meaning of a production possibility curve (PPC),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.1 nature and meaning of a production possibility curve (PPC),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.1 nature and meaning of a production possibility curve (PPC),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.2 shape of the PPC: constant and increasing opportunity costs,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.2 shape of the PPC: constant and increasing opportunity costs,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.2 shape of the PPC: constant and increasing opportunity costs,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.2 shape of the PPC: constant and increasing opportunity costs,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.3 causes and consequences of shifts in a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.3 causes and consequences of shifts in a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.3 causes and consequences of shifts in a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.3 causes and consequences of shifts in a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.4 significance of a position within a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.4 significance of a position within a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.4 significance of a position within a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.5 Production possibility curves,1.5.4 significance of a position within a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.1 nature and definition of free goods and private goods (economic goods),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.1 nature and definition of free goods and private goods (economic goods),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.1 nature and definition of free goods and private goods (economic goods),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.1 nature and definition of free goods and private goods (economic goods),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.2 nature and definition of public goods,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.2 nature and definition of public goods,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.2 nature and definition of public goods,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.2 nature and definition of public goods,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.3 nature and definition of merit goods: under-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.3 nature and definition of merit goods: under-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.3 nature and definition of merit goods: under-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.3 nature and definition of merit goods: under-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.4 nature and definition of demerit goods: over-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.4 nature and definition of demerit goods: over-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.4 nature and definition of demerit goods: over-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
1 Basic economic ideas and resource allocation (AS Level),1.6 Classification of goods and services,1.6.4 nature and definition of demerit goods: over-consumption as a result of imperfect information in the market,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.1 effective demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.1 effective demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.1 effective demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.1 effective demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.2 individual and market demand and supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.2 individual and market demand and supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.2 individual and market demand and supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.2 individual and market demand and supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.3 determinants of demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.3 determinants of demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.3 determinants of demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.3 determinants of demand,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.4 determinants of supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.4 determinants of supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.4 determinants of supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.4 determinants of supply,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.5 causes of a shift in the demand curve (D),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,33
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.5 causes of a shift in the demand curve (D),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 - AS Level Data Response and Essays,9708/2,120,60,67
2 The price system and the microeconomy (AS Level),2.1 Demand and supply curves,2.1.5 causes of a shift in the demand curve (D),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 - AS Level Multiple Choice,9708/1,60,30,17
